ALGORITHM,N,COMPS,SWAPS
QUICK,5,7,6
BUBBLE,5,10,7
QUICK,5,6,5
BUBBLE,5,10,8
BUBBLE,5,10,3
BUBBLE,5,10,5
BUBBLE,5,10,6
BUBBLE,5,10,5
QUICK,5,8,8
BUBBLE,5,10,6
QUICK,5,7,6
QUICK,5,8,7
QUICK,5,8,7
BUBBLE,5,10,6
QUICK,5,6,5
BUBBLE,5,10,4
BUBBLE,5,10,7
QUICK,5,7,6
QUICK,5,6,4
QUICK,5,6,5
QUICK,6,9,9
BUBBLE,6,15,10
BUBBLE,6,15,8
BUBBLE,6,15,12
QUICK,6,11,11
BUBBLE,6,15,8
QUICK,6,9,8
QUICK,6,8,8
BUBBLE,6,15,10
QUICK,6,12,11
QUICK,6,12,12
QUICK,6,13,12
BUBBLE,6,15,9
BUBBLE,6,15,8
BUBBLE,6,15,7
BUBBLE,6,15,10
BUBBLE,6,15,6
QUICK,6,10,10
BUBBLE,6,15,10
QUICK,6,9,9
QUICK,7,10,10
QUICK,7,16,16
BUBBLE,7,21,10
QUICK,7,16,16
QUICK,7,15,14
QUICK,7,12,11
BUBBLE,7,21,14
BUBBLE,7,21,10
QUICK,7,14,14
QUICK,7,12,12
BUBBLE,7,21,8
BUBBLE,7,21,5
BUBBLE,7,21,18
BUBBLE,7,21,13
BUBBLE,7,21,6
QUICK,7,11,10
QUICK,7,12,12
BUBBLE,7,21,13
QUICK,7,14,14
BUBBLE,7,21,14
BUBBLE,8,28,17
BUBBLE,8,28,13
QUICK,8,16,15
BUBBLE,8,28,15
BUBBLE,8,28,12
QUICK,8,16,16
QUICK,8,17,17
BUBBLE,8,28,11
QUICK,8,16,16
QUICK,8,19,18
QUICK,8,14,13
BUBBLE,8,28,18
BUBBLE,8,28,10
BUBBLE,8,28,7
QUICK,8,21,21
BUBBLE,8,28,9
BUBBLE,8,28,16
BUBBLE,8,28,11
QUICK,8,15,14
QUICK,8,14,12
BUBBLE,9,36,25
QUICK,9,29,29
QUICK,9,22,21
BUBBLE,9,36,19
BUBBLE,9,36,10
BUBBLE,9,36,25
BUBBLE,9,36,24
BUBBLE,9,36,14
BUBBLE,9,36,19
BUBBLE,9,36,13
QUICK,9,16,15
BUBBLE,9,36,25
BUBBLE,9,36,20
QUICK,9,19,19
BUBBLE,9,36,21
BUBBLE,9,36,16
BUBBLE,9,36,18
BUBBLE,9,36,22
QUICK,9,20,18
BUBBLE,9,36,19
BUBBLE,10,45,12
BUBBLE,10,45,24
QUICK,10,25,24
BUBBLE,10,45,16
QUICK,10,27,25
BUBBLE,10,45,28
QUICK,10,21,21
BUBBLE,10,45,14
QUICK,10,21,19
QUICK,10,21,20
QUICK,10,22,21
BUBBLE,10,45,32
QUICK,10,23,22
QUICK,10,27,26
QUICK,10,21,20
QUICK,10,22,22
QUICK,10,25,25
QUICK,10,23,21
BUBBLE,10,45,18
QUICK,10,31,31
QUICK,11,24,23
QUICK,11,27,26
BUBBLE,11,55,29
QUICK,11,23,21
QUICK,11,33,31
BUBBLE,11,55,16
BUBBLE,11,55,23
BUBBLE,11,55,29
QUICK,11,25,24
BUBBLE,11,55,25
QUICK,11,28,26
BUBBLE,11,55,29
QUICK,11,24,23
BUBBLE,11,55,17
BUBBLE,11,55,33
QUICK,11,27,27
QUICK,11,25,25
QUICK,11,39,37
QUICK,11,34,33
QUICK,11,32,31
BUBBLE,12,66,38
QUICK,12,31,29
BUBBLE,12,66,16
QUICK,12,38,38
BUBBLE,12,66,31
QUICK,12,40,40
BUBBLE,12,66,34
BUBBLE,12,66,25
BUBBLE,12,66,33
QUICK,12,34,33
BUBBLE,12,66,40
BUBBLE,12,66,38
BUBBLE,12,66,28
BUBBLE,12,66,21
BUBBLE,12,66,30
QUICK,12,29,27
BUBBLE,12,66,38
QUICK,12,32,31
QUICK,12,35,34
BUBBLE,12,66,42
QUICK,13,33,33
BUBBLE,13,78,30
BUBBLE,13,78,28
BUBBLE,13,78,34
QUICK,13,32,31
QUICK,13,39,37
QUICK,13,32,32
BUBBLE,13,78,52
QUICK,13,33,33
QUICK,13,35,35
BUBBLE,13,78,43
QUICK,13,42,42
QUICK,13,34,33
BUBBLE,13,78,33
QUICK,13,39,39
BUBBLE,13,78,31
QUICK,13,30,29
QUICK,13,41,40
BUBBLE,13,78,51
BUBBLE,13,78,35
BUBBLE,14,91,42
QUICK,14,37,34
QUICK,14,45,44
QUICK,14,35,35
BUBBLE,14,91,53
QUICK,14,39,39
QUICK,14,45,44
QUICK,14,41,40
BUBBLE,14,91,49
BUBBLE,14,91,56
QUICK,14,41,39
QUICK,14,43,43
BUBBLE,14,91,44
BUBBLE,14,91,52
BUBBLE,14,91,27
BUBBLE,14,91,34
BUBBLE,14,91,43
QUICK,14,47,44
QUICK,14,35,34
QUICK,14,42,42
QUICK,15,51,48
BUBBLE,15,105,69
QUICK,15,39,37
QUICK,15,41,41
BUBBLE,15,105,65
QUICK,15,48,47
QUICK,15,48,45
BUBBLE,15,105,44
QUICK,15,60,58
QUICK,15,56,55
BUBBLE,15,105,52
QUICK,15,41,38
BUBBLE,15,105,44
QUICK,15,42,42
QUICK,15,39,37
BUBBLE,15,105,50
BUBBLE,15,105,48
QUICK,15,47,47
BUBBLE,15,105,37
BUBBLE,15,105,64
QUICK,16,51,50
QUICK,16,47,45
BUBBLE,16,120,51
BUBBLE,16,120,65
QUICK,16,47,46
QUICK,16,54,53
QUICK,16,63,60
BUBBLE,16,120,37
QUICK,16,48,48
BUBBLE,16,120,45
BUBBLE,16,120,44
QUICK,16,47,45
QUICK,16,58,56
QUICK,16,44,41
BUBBLE,16,120,48
BUBBLE,16,120,52
BUBBLE,16,120,60
QUICK,16,45,45
BUBBLE,16,120,61
QUICK,16,61,60
BUBBLE,17,136,53
BUBBLE,17,136,64
QUICK,17,44,41
BUBBLE,17,136,51
BUBBLE,17,136,48
QUICK,17,51,47
QUICK,17,55,54
BUBBLE,17,136,73
QUICK,17,55,54
BUBBLE,17,136,59
QUICK,17,59,59
QUICK,17,73,71
BUBBLE,17,136,52
BUBBLE,17,136,40
QUICK,17,55,54
QUICK,17,47,45
QUICK,17,47,45
BUBBLE,17,136,82
QUICK,17,50,48
BUBBLE,17,136,67
BUBBLE,18,153,81
BUBBLE,18,153,71
BUBBLE,18,153,65
BUBBLE,18,153,89
BUBBLE,18,153,83
QUICK,18,68,66
QUICK,18,54,52
QUICK,18,52,50
QUICK,18,60,58
QUICK,18,57,54
QUICK,18,80,79
BUBBLE,18,153,87
BUBBLE,18,153,55
QUICK,18,55,53
QUICK,18,57,54
QUICK,18,73,71
BUBBLE,18,153,70
QUICK,18,75,73
BUBBLE,18,153,58
BUBBLE,18,153,108
QUICK,19,70,69
QUICK,19,63,63
QUICK,19,59,57
QUICK,19,61,60
QUICK,19,75,71
QUICK,19,84,82
QUICK,19,54,53
BUBBLE,19,171,88
QUICK,19,81,80
QUICK,19,60,59
QUICK,19,57,55
QUICK,19,67,65
QUICK,19,62,62
BUBBLE,19,171,91
QUICK,19,63,61
BUBBLE,19,171,59
QUICK,19,53,51
QUICK,19,71,71
QUICK,19,62,60
BUBBLE,19,171,84
BUBBLE,20,190,101
BUBBLE,20,190,71
BUBBLE,20,190,112
BUBBLE,20,190,97
QUICK,20,74,73
BUBBLE,20,190,74
BUBBLE,20,190,92
BUBBLE,20,190,86
QUICK,20,62,61
BUBBLE,20,190,96
QUICK,20,80,80
BUBBLE,20,190,106
BUBBLE,20,190,93
BUBBLE,20,190,79
BUBBLE,20,190,109
BUBBLE,20,190,97
QUICK,20,83,83
QUICK,20,84,82
BUBBLE,20,190,97
BUBBLE,20,190,107
BUBBLE,21,210,104
QUICK,21,70,66
BUBBLE,21,210,105
QUICK,21,94,91
BUBBLE,21,210,126
BUBBLE,21,210,70
QUICK,21,78,75
BUBBLE,21,210,132
BUBBLE,21,210,149
BUBBLE,21,210,72
BUBBLE,21,210,131
QUICK,21,66,63
QUICK,21,77,74
BUBBLE,21,210,120
QUICK,21,71,70
BUBBLE,21,210,87
BUBBLE,21,210,85
QUICK,21,80,79
BUBBLE,21,210,113
BUBBLE,21,210,91
QUICK,22,91,90
BUBBLE,22,231,112
QUICK,22,74,72
BUBBLE,22,231,103
BUBBLE,22,231,122
BUBBLE,22,231,90
BUBBLE,22,231,120
QUICK,22,110,107
QUICK,22,70,68
BUBBLE,22,231,130
BUBBLE,22,231,118
BUBBLE,22,231,119
QUICK,22,80,75
BUBBLE,22,231,76
BUBBLE,22,231,123
QUICK,22,85,83
BUBBLE,22,231,145
BUBBLE,22,231,142
BUBBLE,22,231,105
QUICK,22,76,71
BUBBLE,23,253,111
BUBBLE,23,253,118
QUICK,23,78,74
QUICK,23,86,85
BUBBLE,23,253,128
BUBBLE,23,253,135
BUBBLE,23,253,140
QUICK,23,102,99
QUICK,23,87,86
QUICK,23,77,72
QUICK,23,81,79
QUICK,23,92,89
BUBBLE,23,253,121
BUBBLE,23,253,146
BUBBLE,23,253,126
BUBBLE,23,253,95
QUICK,23,74,73
BUBBLE,23,253,125
BUBBLE,23,253,132
BUBBLE,23,253,142
QUICK,24,74,72
QUICK,24,87,86
BUBBLE,24,276,160
BUBBLE,24,276,126
BUBBLE,24,276,124
QUICK,24,80,78
BUBBLE,24,276,135
QUICK,24,84,83
QUICK,24,100,99
QUICK,24,83,79
BUBBLE,24,276,120
BUBBLE,24,276,134
QUICK,24,99,97
BUBBLE,24,276,161
QUICK,24,85,85
BUBBLE,24,276,140
QUICK,24,78,75
QUICK,24,89,88
BUBBLE,24,276,146
BUBBLE,24,276,176
BUBBLE,25,300,135
BUBBLE,25,300,166
QUICK,25,113,111
QUICK,25,88,86
QUICK,25,128,126
BUBBLE,25,300,127
BUBBLE,25,300,177
BUBBLE,25,300,158
BUBBLE,25,300,119
QUICK,25,107,106
QUICK,25,106,104
QUICK,25,82,80
BUBBLE,25,300,141
QUICK,25,93,91
QUICK,25,108,108
QUICK,25,122,122
BUBBLE,25,300,147
BUBBLE,25,300,115
BUBBLE,25,300,159
QUICK,25,108,106
BUBBLE,26,325,168
BUBBLE,26,325,140
QUICK,26,110,107
QUICK,26,97,97
BUBBLE,26,325,177
QUICK,26,87,83
QUICK,26,97,97
BUBBLE,26,325,188
BUBBLE,26,325,131
BUBBLE,26,325,150
QUICK,26,112,109
QUICK,26,87,85
BUBBLE,26,325,130
BUBBLE,26,325,163
BUBBLE,26,325,197
QUICK,26,99,97
QUICK,26,96,94
BUBBLE,26,325,185
QUICK,26,105,104
BUBBLE,26,325,139
BUBBLE,27,351,179
QUICK,27,129,128
BUBBLE,27,351,203
QUICK,27,107,106
BUBBLE,27,351,137
BUBBLE,27,351,171
QUICK,27,112,110
QUICK,27,124,121
