INITIALS,#NODES,#EPOCHS,ACC(train),LOSS(train),ACC(test),LOSS(test)
SJ,16,1,0.9168666601,0.3000206947,0.9485999942,0.1733216047
SJ,16,3,0.9144499898,0.305654794,0.9477000237,0.1720405817
SJ,16,5,0.9162333608,0.3022322953,0.9481999874,0.1709128767
SJ,32,1,0.9109166861,0.3124725521,0.9491999745,0.1770216525
SJ,32,3,0.9144499898,0.299380362,0.9512000084,0.1707270443
SJ,32,5,0.9155666828,0.2983694375,0.9501000047,0.1688697934
SJ,64,1,0.9169833064,0.2932108343,0.9491000175,0.1729657054
SJ,64,3,0.9172499776,0.2949366271,0.9523000121,0.1601349115
SJ,64,5,0.915933311,0.3007924855,0.9495000243,0.167909041
SJ,128,1,0.9161999822,0.2998363674,0.9491999745,0.1693689972
SJ,128,3,0.913500011,0.3023940623,0.9488999844,0.1714836061
SJ,128,5,0.9126999974,0.3077696264,0.9501000047,0.1707129925
AG,16,1,0.8787,0.4332,0.9421,0.2698
AG,16,3,0.9406,0.2081,0.9376,0.2128
AG,16,5,0.9506,0.1691,0.9437,0.1901
AG,32,1,0.8995,0.3609,0.9332,0.2273
AG,32,3,0.9613,0.1328,0.9582,0.1394
AG,32,5,0.9768,0.0759,0.9667,0.1112
AG,64,1,0.914,0.3079,0.9496,0.1736
AG,64,3,0.9795,0.081,0.9701,0.1005
AG,64,5,0.9897,0.0346,0.9755,0.0854
AG,128,1,0.9909,0.0298,0.9755,0.0891
AG,128,3,0.9944,0.0186,0.9752,0.0963
AG,128,5,0.9968,0.0105,0.9743,0.1088
JJ,16,1,0.8782,0.4331,0.9269,0.2626
JJ,16,3,0.9418,0.2069,0.9424,0.1958
JJ,16,5,0.9459,0.1876,0.9437,0.1894
JJ,32,1,0.9053,0.3464,0.9422,0.1997
JJ,32,3,0.9578,0.1451,0.9579,0.1426
JJ,32,5,0.9645,0.1171,0.9631,0.1273
JJ,64,1,0.9133,0.3063,0.9523,0.1671
JJ,64,3,0.97,0.1036,0.9685,0.1032
JJ,64,5,0.9798,0.0664,0.9745,0.0889
JJ,128,1,0.9253,0.2594,0.9604,0.1359
JJ,128,3,0.977,0.0774,0.9753,0.0801
JJ,128,5,0.993,0.0221,0.98,0.072
KT,16,1,0.8758,0.4421,0.9261,0.2694
KT,16,3,0.94,0.2093,0.9434,0.1964
KT,16,5,0.9444,0.1888,0.9437,0.1947
KT,32,1,0.9024,0.3475,0.9411,0.2044
KT,32,3,0.9589,0.1425,0.9633,0.129
KT,32,5,0.9683,0.108,0.963,0.1272
KT,64,1,0.9128,0.3101,0.9471,0.1768
KT,64,3,0.9694,0.1056,0.9688,0.1017
KT,64,5,0.9787,0.0706,0.971,0.0927
KT,128,1,0.9265,0.2588,0.9553,0.1397
KT,128,3,0.9763,0.0766,0.9743,0.0864
KT,128,5,0.9867,0.0448,0.9776,0.0786
EE,16,1,0.8795,0.4317,0.9232,0.2594
EE,16,3,0.9355,0.2263,0.9379,0.218
EE,16,5,0.9475,0.1793,0.9475,0.1842
EE,32,1,0.9,0.3581,0.9378,0.208
EE,32,3,0.9586,0.1404,0.9628,0.1311
EE,32,5,0.9767,0.0754,0.9703,0.1032
EE,64,1,0.9137,0.3069,0.9491,0.1787
EE,64,3,0.9674,0.1092,0.9661,0.1079
EE,64,5,0.9778,0.0714,0.9696,0.1041
EE,128,1,0.9258,0.2607,0.9574,0.1424
EE,128,3,0.9819,0.0593,0.9758,0.0751
EE,128,5,0.994,0.0187,0.9768,0.0746
JW,16,1,0.8706,0.4643,0.9193,0.2823
JW,16,3,0.937,0.2219,0.9403,0.2062
JW,16,5,0.9503,0.1738,0.9476,0.1741
JW,32,1,0.901,0.3604,0.9377,0.2204
JW,32,3,0.9563,0.1502,0.9568,0.1403
JW,32,5,0.966,0.1141,0.9638,0.126
JW,64,1,0.9147,0.3006,0.9495,0.1741
JW,64,3,0.9692,0.1055,0.9704,0.1023
JW,64,5,0.9791,0.0689,0.9736,0.0911
JW,128,1,0.928,0.2517,0.9616,0.134
JW,128,3,0.9767,0.0769,0.975,0.0798
JW,128,5,0.9858,0.0457,0.9797,0.0682
RL,16,1,0.8802,0.4265,0.9291,0.2487
RL,32,1,0.8993,0.3617,0.9344,0.2194
RL,64,1,0.9149,0.3019,0.9475,0.1699
RL,128,1,0.9264,0.26,0.9575,0.1428
RL,16,3,0.9331,0.2302,0.9345,0.2203
RL,32,3,0.9577,0.1466,0.9603,0.1395
RL,64,3,0.9693,0.1048,0.9689,0.1024
RL,128,3,0.9769,0.0768,0.9727,0.0839
RL,16,5,0.9485,0.1794,0.9437,0.1992
RL,32,5,0.9684,0.1062,0.9652,0.1164
RL,64,5,0.9797,0.0686,0.9696,0.1035
RL,128,5,0.9865,0.0434,0.9762,0.0743
AL,16,1,0.8802,0.4247,0.9228,0.2679
AL,32,1,0.9013,0.3577,0.9357,0.2243
AL,64,1,0.9141,0.3039,0.9536,0.1602
AL,128,1,0.9241,0.261,0.956,0.1479
AL,16,3,0.9372,0.2193,0.9375,0.2129
AL,32,3,0.9585,0.1456,0.9584,0.1383
AL,64,3,0.9679,0.1086,0.9695,0.1073
AL,128,3,0.9767,0.0788,0.9748,0.0878
AL,16,5,0.9508,0.1707,0.947,0.1784
AL,32,5,0.9666,0.1139,0.964,0.1196
AL,64,5,0.9804,0.065,0.9742,0.0879
AL,128,5,0.986,0.0453,0.9786,0.0749
NL,16,1,0.8782,0.4282,0.9257,0.2591
NL,16,3,0.9364,0.2246,0.9376,0.2175
NL,16,5,0.9498,0.1715,0.9487,0.1725
NL,32,1,0.9001,0.3534,0.9412,0.2046
NL,32,3,0.9628,0.1258,0.964,0.1279
NL,32,5,0.9779,0.074,0.9669,0.1081
NL,64,1,0.9143,0.303,0.9498,0.1662
NL,64,3,0.9758,0.0822,0.9699,0.0969
NL,64,5,0.9889,0.0359,0.9739,0.0869
NL,128,1,0.9272,0.2568,0.9621,0.1332
NL,128,3,0.9822,0.0584,0.9784,0.0734
NL,128,5,0.9943,0.0185,0.9786,0.08
JS,16,1,0.9271,0.2576,0.9359,0.2289
JS,16,3,0.9493,0.1782,0.948,0.1825
JS,16,5,0.9609,0.1347,0.9515,0.1673
JS,32,1,0.8964,0.3654,0.9384,0.2111
JS,32,3,0.9621,0.1304,0.9596,0.1335
JS,32,5,0.9758,0.0782,0.9665,0.1185
JS,64,1,0.9165,0.2967,0.9504,0.1676
JS,64,3,0.9756,0.0831,0.97,0.0975
JS,64,5,0.989,0.0356,0.975,0.0841
JS,128,1,0.924,0.2633,0.9576,0.1357
JS,128,3,0.9827,0.0575,0.9775,0.0718
JS,128,5,0.9941,0.0176,0.9765,0.085
