ID,NODES,EPOCHS,TRAINACC,TRAINLOSS,TESTACC,TESTLOSS
LL,16,1,0.804,0.6851,0.9187,0.2903
LL,16,3,0.938,0.214,0.9405,0.207
LL,16,5,0.9498,0.1736,0.946,0.1836
LL,32,1,0.8296,0.5994,0.9371,0.2174
LL,32,3,0.9523,0.1637,0.9493,0.171
LL,32,5,0.9639,0.1214,0.9621,0.1315
LL,64,1,0.8595,0.5009,0.9481,0.1831
LL,64,3,0.9676,0.1079,0.9705,0.0996
LL,64,5,0.9797,0.0653,0.9706,0.0952
LL,128,1,0.8755,0.4413,0.9563,0.1444
LL,128,3,0.9778,0.0789,0.9725,0.089
LL,128,5,0.9856,0.0458,0.9763,0.0793
BL,16,1,0.7985,0.7027,0.9248999953,0.2562364638
BL,16,3,0.9469,0.1813,0.9458,0.1867
BL,16,5,0.9586,0.1407,0.9527,0.1587
BL,32,1,0.8355,0.584,0.9323999882,0.2304250002
BL,32,3,0.9614,0.1309,0.9617000222,0.1320400089
BL,32,5,0.9784,0.0755,0.9664999843,0.1132675633
BL,64,1,0.8595,0.4976,0.9484000206,0.1780626774
BL,64,3,0.974,0.0866,0.9714999795,0.09383903444
BL,64,5,0.9896,0.0341,0.9738000035,0.09192157537
BL,128,1,0.8752,0.4404,0.961499989,0.1354829818
BL,128,3,0.9824,0.0577,0.9761,0.0821
BL,128,5,0.9949,0.0182,0.9761000276,0.08214870095
DB,16,1,0.9192,0.2805,0.9137,0.306
DB,16,3,0.9477,0.1834,0.9393,0.204
DB,16,5,0.9529,0.159,0.9433,0.1968
DB,32,1,0.9396,0.2091,0.9367,0.2089
DB,32,3,0.9686,0.108,0.9591,0.1322
DB,32,5,0.9789,0.0706,0.9649,0.1209
DB,64,1,0.9545,0.1585,0.9519,0.1653
DB,64,3,0.9811,0.0642,0.9696,0.0983
DB,64,5,0.9936,0.0237,0.9745,0.085
DB,128,1,0.9642,0.1267,0.9613,0.134
DB,128,3,0.9885,0.0417,0.976,0.0798
DB,128,5,0.997,0.0111,0.98,0.07
AC,16,1,0.7839,0.7237,0.9261999726,0.2621700764
AC,32,1,0.8426,0.5677,0.9373999834,0.2044678032
AC,64,1,0.864,0.4925,0.948300004,0.1773745269
AC,128,1,0.8817,0.4268,0.956799984,0.1409092098
AC,16,3,0.9399,0.2082,0.9427000284,0.2082
AC,32,3,0.9552,0.1539,0.9552000165,0.1499959677
AC,64,3,0.9682,0.1092,0.9682999849,0.108799085
AC,128,3,0.9772,0.0756,0.9768999815,0.07710656524
AC,16,5,0.9497,0.1764,0.9495000243,0.1760826707
AC,32,5,0.9665,0.1127,0.9624000192,0.1293120235
AC,64,5,0.9806,0.0672,0.9728999734,0.08936365694
AC,128,5,0.9865,0.0418,0.9778000116,0.07240431011
EC,16,1,0.7879,0.7624,0.9267,0.2644
EC,32,1,0.8297,0.6039,0.9353,0.2167
EC,64,1,0.8614,0.4986,0.9493,0.172
EC,128,1,0.8743,0.437,0.9567,0.1423
EC,16,3,0.9414,0.209,0.9444,0.1933
EC,32,3,0.9566,0.1489,0.9595,0.1441
EC,64,3,0.9672,0.113,0.9645,0.1135
EC,128,3,0.9786,0.0755,0.9728,0.087
EC,16,5,0.9422,0.1999,0.9404,0.205
EC,32,5,0.9676,0.1096,0.9626,0.1283
EC,64,5,0.981,0.0645,0.9686,0.1032
EC,128,5,0.9877,0.042,0.9737,0.0891
MF,16,1,0.7713,0.7495,0.9237,0.2671
MF,32,1,0.8249,0.6096,0.935,0.2227
MF,64,1,0.8563,0.5135,0.9495,0.1766
MF,128,1,0.8777,0.435,0.9609,0.1374
MF,16,3,0.9384,0.2159,0.9399,0.2046
MF,32,3,0.9536,0.1606,0.9555,0.1466
MF,64,3,0.9669,0.1113,0.9676,0.111
MF,128,3,0.9764,0.0782,0.9744,0.0816
MF,16,5,0.9464,0.1831,0.946,0.1849
MF,32,5,0.9655,0.1161,0.9628,0.1359
MF,64,5,0.9799,0.0689,0.9737,0.0891
MF,128,5,0.9871,0.0436,0.9756,0.0743
JH,16,1,0.8035,0.6895,0.9259,0.2556
JH,16,3,0.9382,0.2147,0.9404,0.209
JH,16,5,0.9521,0.1665,0.9494,0.1765
JH,32,1,0.8334,0.592,0.9373,0.2153
JH,32,3,0.9581,0.1421,0.9569,0.1409
JH,32,5,0.9636,0.1176,0.96,0.1332
JH,64,1,0.8612,0.4997,0.9463,0.1833
JH,64,3,0.9684,0.1084,0.9702,0.1001
JH,64,5,0.9791,0.0695,0.9743,0.0858
JH,128,1,0.8762,0.4307,0.9602,0.1345
JH,128,3,0.9756,0.0798,0.9712,0.0893
JH,128,5,0.9872,0.0416,0.9769,0.0774
JK,16,1,0.7917,0.7316,0.9201,0.2695
JK,16,3,0.9421,0.2075,0.9419,0.2008
JK,16,5,0.9451,0.1908,0.9478,0.1829
JK,32,1,0.8414,0.5855,0.9396,0.2104
JK,32,3,0.9556,0.1508,0.9562,0.1479
JK,32,5,0.9694,0.1072,0.9634,0.1243
JK,64,1,0.8672,0.4784,0.95,0.1703
JK,64,3,0.9678,0.108,0.9686,0.107
JK,64,5,0.9828,0.0595,0.9728,0.0913
JK,128,1,0.9524,0.1648,0.9584,0.1384
JK,128,3,0.9768,0.078,0.9769,0.0796
JK,128,5,0.9856,0.0469,0.9751,0.084
HL,16,1,0.8002,0.6968,0.9255999923,0.2540408969
HL,16,3,0.9555,0.1508,0.9499999881,0.1679371297
