Year,Name,Nodes,Epochs,AccuracyTrain,LossTrain,SecondsTrain,AccuracyTest,LossTest
2022,CS,16,1,0.8748,0.4426,4.0,0.9247,0.2616
2022,CS,16,3,0.9373,0.217,13.0,0.9396,0.1991
2022,CS,16,5,0.9529,0.1612,12.0,0.9506,0.1700
2022,CS,32,1,0.9003,0.3534,5.0,0.9382,0.2119
2022,CS,32,3,0.9568,0.1477,12.0,0.9642,0.1173
2022,CS,32,5,0.9752,0.0818,20.0,0.9682,0.1044
2022,CS,64,1,0.9174,0.2977,25.0,0.9436,0.1903
2022,CS,64,3,0.9664,0.1139,13.0,0.9720,0.0979
2022,CS,64,5,0.9844,0.0509,22.0,0.9737,0.0873
2022,CS,128,1,0.9249,0.2592,6.0,0.9610,0.1301
2022,CS,128,3,0.9751,0.0835,16.0,0.9759,0.0772
2022,CS,128,5,0.999,0.0292,27.0,0.9777,0.0794
2022,HM,16,1,0.9267,0.2598,4,0.9314,0.2392
2022,HM,16,3,0.9398,0.2116,11,0.9383,0.2026
2022,HM,16,5,0.9518,0.1655,19,0.9494,0.1747
2022,HM,32,1,0.8989,0.3595,4,0.9375,0.2142
2022,HM,32,3,0.9536,0.1612,12,0.9375,0.2142
2022,HM,32,5,0.9715,0.0942,20,0.9672,0.1161
2022,HM,64,1,0.9154,0.3008,5,0.9449,0.1769
2022,HM,64,3,0.9666,0.1127,12,0.9723,0.094
2022,HM,64,5,0.9848,0.1238,20,0.9763,0.0813
2022,HM,128,1,0.9247,0.2632,5,0.9592,0.1353
2022,HM,128,3,0.9741,0.0865,16,0.9727,0.0899
2022,HM,128,5,0.9901,0.0317,32,0.9769,0.0825
2022,ZX,16,1,0.8803,0.4209,5,0.9255,0.2535
2022,ZX,16,3,0.943,0.2022,7,0.9434,0.1949
2022,ZX,16,5,0.9572,0.147,10,0.951,0.17
2022,ZX,32,1,0.902,0.3848,5,0.9421,0.1996
2022,ZX,32,3,0.957,0.1479,6,0.9572,0.1468
2022,ZX,32,5,0.9679,0.1103,10,0.9615,0.127
2022,ZX,64,1,0.913,0.3082,5,0.945,0.1883
2022,ZX,64,3,0.9692,0.1044,6,0.9679,0.1012
2022,ZX,64,5,0.9787,0.0701,10,0.9742,0.0844
2022,ZX,128,1,0.9259,0.2551,6,0.9561,0.1426
2022,ZX,128,3,0.9771,0.0757,9,0.9724,0.0886
2022,ZX,128,5,0.9861,0.0446,15,0.9753,0.0776
2022,SG,16,1,0.8792,0.4283,3,0.9264,0.2624
2022,SG,16,3,0.9396,0.2098,10,0.9422,0.195
2022,SG,16,5,0.9465,0.1888,18,0.9454,0.1938
2022,SG,32,1,0.9,0.3555,4,0.9414,0.2024
2022,SG,32,3,0.9583,0.1438,11,0.9556,0.1454
2022,SG,32,5,0.9674,0.1098,19,0.9626,0.13
2022,SG,64,1,0.918,0.2937,4,0.952,0.1706
2022,SG,64,3,0.9678,0.1098,12,0.9679,0.1107
2022,SG,64,5,0.9793,0.0688,20,0.9725,0.919
2022,SG,128,1,0.9278,0.2558,5,0.9603,0.1314
2022,SG,128,3,0.9767,0.0775,14,0.9728,0.0854
2022,SG,128,5,0.9858,0.0458,21,0.976,0.076
2022,JS,16,1,0.8822,0.4222,4,0.9271,0.2643
2022,JS,32,1,0.8992,0.3606,3,0.9375,0.2212
2022,JS,64,1,0.9165,0.2986,4,0.9511,0.1643
2022,JS,128,1,0.9269,0.2557,5,0.961,0.1313
2022,JS,16,3,0.9318,0.239,9,0.9158,0.2987
2022,JS,32,3,0.9318,0.239,9,0.9586,0.1384
2022,JS,64,3,0.9671,0.111,9,0.9669,0.111
2022,JS,128,3,0.9756,0.0557,12,0.9763,0.077
2022,JS,16,5,0.9548,0.1731,16,0.9484,0.1797
2022,JS,32,5,0.94622,0.1875,15,0.9625,0.1221
2022,JS,64,5,0.96014,0.13762,16,0.9746,0.0829
2022,JS,128,5,0.99044,0.03068,20,0.9785,0.0729
2023,NT,16,1,0.9297,0.2466,,0.9284,0.2444
2023,NT,16,3,0.9523,0.1636,,0.9458,0.1824
2023,NT,16,5,0.9614,0.1321,,0.9503,0.1723
2023,NT,32,1,0.9805,0.06257,,0.9657,0.1171
2023,NT,32,3,0.9799,0.96798,,0.9655,0.1167
2023,NT,32,5,0.9709,0.09736,,0.9624,0.1268
2023,NT,64,1,0.9492,0.1742,,0.9449,0.1746
2023,NT,64,3,0.9803,0.0655,,0.9707,0.09529
2023,NT,64,5,0.9933,0.0252,,0.9758,0.0835
2023,NT,128,1,0.9965,0.0129,,0.9776,0.07653
2023,NT,128,3,0.9947,0.0178,,0.9781,0.0788
2023,NT,128,5,0.9886,0.038,,0.9756,0.0811
2023,BH,16,1,0.8796,0.4369,,0.9317,0.2429
2023,BH,32,1,0.9025,0.3501,,0.9381,0.2069
2023,BH,64,1,0.9132,0.3074,,0.9516,0.1659
2023,BH,128,1,0.9283,0.2562,,0.9563,0.1433
2023,BH,16,3,0.9391,0.2131,,0.9404,0.2014
2023,BH,32,3,0.9548,0.1551,,0.9578,0.1433
2023,BH,64,3,0.9687,0.105,,0.9684,0.1068
2023,BH,128,3,0.9765,0.0788,,0.9736,0.0822
2023,BH,16,5,0.9467,0.1836,,0.9489,0.1815
2023,BH,32,5,0.9667,0.1119,,0.9629,0.1192
2023,BH,64,5,0.9798,0.0665,,0.9737,0.0866
2023,BH,128,5,0.9861,0.0449,,0.9747,0.0762
